_id,Version_UID,accessories_package,city_id,city_name,cow_cess,engine_protect,ex_showroom_price,extended_warranty,fastag,five_year_extended_warranty,four_year_extended_warranty,four_year_rsa,genuine_accessories,hypothecation_charges,insurance,mcd,model_id,one_year_extended_warranty,one_year_rsa,paint_protection,registeration_charges,road_safety_tax_cess,rsa,rti,rto,rto_bh_series,rto_corporate,second_year_extended_warranty,shield_of_trust,state,tax_collected_at_source_tcs,three_m_protection,three_year_extended_warranty,two_year_rsa,brand,model_name,version_name
6434e9cdaf924b64c96cc42f,224,,173,Gumla,,,836900,,500,,,,,1500,43960,,26,,,,,,,,46926,,66952,,,JHARKHAND,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc43c,224,,198,Haveri,,,836900,,500,,,,,1500,43960,,26,,,,,1000,,,125166,66952,117166,,,KARNATAKA,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc459,224,,399,Jhalawar,,,836900,,500,,,,,1500,43960,,26,,,,,,,,83321,66952,75321,,,RAJASTHAN,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc45d,224,,400,Jodhpur,,,836900,,500,,,,,1500,43960,,26,,,,,,,,83321,66952,75321,,,RAJASTHAN,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc461,224,,132,Kaithal,,,836900,,500,,,,,1500,43960,,26,,,,,,,,74952,66952,66952,,,HARYANA,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc462,224,,341,Kalahandi,,,836900,,500,,,,,1500,43960,,26,,,,,,,,74952,66952,66952,,,ODISHA,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc468,224,,211,Kannur,,,836900,,500,,,,,1500,43960,,26,,,,,,,,100059,66952,92059,,,KERALA,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc473,224,,423,Karur,,,836900,,500,,,,,1500,43960,,26,,,,,1500,,,91690,66952,83690,,,TAMIL NADU,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc47e,224,,114,Kheda,,,836900,,500,,,,,1500,43960,,26,,,,,,,,46926,66952,77851,,,GUJARAT,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc481,224,,322,Kiphire,,,836900,,500,,,,,1500,43960,,26,,,,,,,,37710,,66952,,,NAGALAND,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc487,224,,316,Kolasib,,,836900,,500,,,,,1500,43960,,26,,,,,,,,43568,,66952,,,MIZORAM,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc4a5,224,,18,Lower Dibang Valley,,,836900,,500,,,,,1500,43960,,26,,,,,,,,58214,,66952,,,ARUNACHAL PRADESH,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc4b3,224,,534,Malda,,,836900,,500,7659,,,,1500,49780,,26,,,,,,,,57530,66952,46030,,,WEST BENGAL,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc4b7,224,,202,Mandya,,,836900,,500,,,,,1500,43960,,26,,,,,1000,,,125166,66952,117166,,,KARNATAKA,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc4c6,224,11140,284,Mumbai,,3753,836900,,600,,7108,1360,,1500,44136,,26,,,,,1906,1360,,95300,66952,172128,,5499,MAHARASHTRA,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc4ce,224,,426,Nagapattinam,,,836900,,500,,,,,1500,43960,,26,,,,,1500,,,91690,66952,83690,,,TAMIL NADU,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc4d0,224,,285,Nagpur,,,836900,,300,,6230,1360,,1500,37500,,26,,,,,1895,,3753,100059,66952,171578,,3999,MAHARASHTRA,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc4df,224,,250,Neemuch,,,836900,,500,,,,,1500,43960,,26,,,,,,,,74952,66952,66952,,,MADHYA PRADESH,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc4e8,224,10000,289,Osmanabad,,,836900,,500,,7136,,,1500,48000,,26,,,,,1929,,,96450,66952,167380,,,MAHARASHTRA,,,,,Hyundai,Aura,SX Plus AMT
